ID khách hàng,Khả năng trả nợ,Giới tính,Độ tuổi,Tình trạng hôn nhân,Tình trạng công việc hiện tại (số năm kinh nghiệm),Thu nhập,Chi tiêu (trung bình một tháng),Hóa đơn tiền điện,Tài sản thế chấp,Tình trạng sở hữu nhà ở,Số tiền dự kiến vay,Mục đích vay,Thời hạn khoản vay,Chứng minh thu nhập,Số thành viên phụ thuộc trong gia đình,Trình độ học vấn
522,1. Trả nợ trễ hạn,0. Nữ,23,2. Độc thân,1,6500000,1500000,150000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,70000000,4. Mua xe,6,1. Không có giấy tờ chứng minh thu nhập,3,4. Cấp ba
523,1. Trả nợ trễ hạn,0. Nữ,22,2. Độc thân,1,6000000,2000000,90000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,65000000,4. Mua xe,12,1. Không có giấy tờ chứng minh thu nhập,4,3. Đại học
524,1. Trả nợ trễ hạn,1. Nam,24,2. Độc thân,2,4500000,1500000,100000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,75000000,6. Đầu tư chứng khoán,12,1. Không có giấy tờ chứng minh thu nhập,4,3. Đại học
525,1. Trả nợ trễ hạn,0. Nữ,23,2. Độc thân,1,6500000,1500000,100000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,75000000,6. Đầu tư chứng khoán,8,1. Không có giấy tờ chứng minh thu nhập,3,3. Đại học
526,1. Trả nợ trễ hạn,0. Nữ,21,2. Độc thân,2,6500000,1000000,150000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,70000000,4. Mua xe,12,1. Không có giấy tờ chứng minh thu nhập,4,3. Đại học
527,1. Trả nợ trễ hạn,1. Nam,24,2. Độc thân,1,5000000,2000000,125000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,70000000,4. Mua xe,12,1. Không có giấy tờ chứng minh thu nhập,4,4. Cấp ba
528,1. Trả nợ trễ hạn,1. Nam,22,2. Độc thân,1,5000000,1000000,125000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,65000000,6. Đầu tư chứng khoán,10,1. Không có giấy tờ chứng minh thu nhập,4,3. Đại học
529,1. Trả nợ trễ hạn,0. Nữ,24,2. Độc thân,1,5000000,1500000,190000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,65000000,6. Đầu tư chứng khoán,6,1. Không có giấy tờ chứng minh thu nhập,3,3. Đại học
530,1. Trả nợ trễ hạn,0. Nữ,21,2. Độc thân,1,6500000,1000000,90000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,65000000,4. Mua xe,8,1. Không có giấy tờ chứng minh thu nhập,4,3. Đại học
531,1. Trả nợ trễ hạn,1. Nam,24,2. Độc thân,1,6000000,2000000,190000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,60000000,4. Mua xe,8,1. Không có giấy tờ chứng minh thu nhập,3,4. Cấp ba
532,1. Trả nợ trễ hạn,1. Nam,21,2. Độc thân,2,5000000,2000000,100000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,70000000,6. Đầu tư chứng khoán,6,1. Không có giấy tờ chứng minh thu nhập,3,4. Cấp ba
533,1. Trả nợ trễ hạn,1. Nam,24,2. Độc thân,2,6500000,2000000,190000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,70000000,4. Mua xe,6,1. Không có giấy tờ chứng minh thu nhập,3,4. Cấp ba
534,1. Trả nợ trễ hạn,1. Nam,20,2. Độc thân,1,6000000,1000000,125000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,65000000,6. Đầu tư chứng khoán,6,1. Không có giấy tờ chứng minh thu nhập,4,4. Cấp ba
535,1. Trả nợ trễ hạn,0. Nữ,24,2. Độc thân,1,4500000,1000000,150000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,65000000,4. Mua xe,10,1. Không có giấy tờ chứng minh thu nhập,3,4. Cấp ba
536,1. Trả nợ trễ hạn,0. Nữ,20,2. Độc thân,2,4500000,1000000,90000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,60000000,6. Đầu tư chứng khoán,8,1. Không có giấy tờ chứng minh thu nhập,4,4. Cấp ba
537,1. Trả nợ trễ hạn,0. Nữ,21,2. Độc thân,2,6500000,1500000,90000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,60000000,6. Đầu tư chứng khoán,10,1. Không có giấy tờ chứng minh thu nhập,3,4. Cấp ba
538,1. Trả nợ trễ hạn,1. Nam,24,2. Độc thân,1,6000000,1500000,125000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,70000000,1. Tiêu dùng,12,1. Không có giấy tờ chứng minh thu nhập,4,4. Cấp ba
539,1. Trả nợ trễ hạn,1. Nam,24,2. Độc thân,1,6500000,2000000,190000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,65000000,6. Đầu tư chứng khoán,10,1. Không có giấy tờ chứng minh thu nhập,4,3. Đại học
540,1. Trả nợ trễ hạn,1. Nam,22,2. Độc thân,1,4500000,1000000,100000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,65000000,1. Tiêu dùng,12,1. Không có giấy tờ chứng minh thu nhập,4,3. Đại học
541,1. Trả nợ trễ hạn,0. Nữ,23,2. Độc thân,1,5000000,2000000,150000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,60000000,1. Tiêu dùng,8,1. Không có giấy tờ chứng minh thu nhập,3,4. Cấp ba
542,1. Trả nợ trễ hạn,0. Nữ,23,2. Độc thân,2,6500000,2000000,190000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,70000000,1. Tiêu dùng,6,1. Không có giấy tờ chứng minh thu nhập,4,4. Cấp ba
543,1. Trả nợ trễ hạn,0. Nữ,24,2. Độc thân,2,6500000,1000000,90000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,75000000,6. Đầu tư chứng khoán,6,1. Không có giấy tờ chứng minh thu nhập,4,3. Đại học
544,1. Trả nợ trễ hạn,0. Nữ,21,2. Độc thân,2,5000000,2000000,90000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,70000000,1. Tiêu dùng,10,1. Không có giấy tờ chứng minh thu nhập,4,3. Đại học
545,1. Trả nợ trễ hạn,0. Nữ,21,2. Độc thân,1,5000000,1500000,125000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,65000000,1. Tiêu dùng,12,1. Không có giấy tờ chứng minh thu nhập,3,3. Đại học
546,1. Trả nợ trễ hạn,0. Nữ,21,2. Độc thân,2,6500000,2000000,125000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,75000000,1. Tiêu dùng,8,1. Không có giấy tờ chứng minh thu nhập,3,4. Cấp ba
547,1. Trả nợ trễ hạn,0. Nữ,21,2. Độc thân,2,4500000,1000000,100000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,75000000,1. Tiêu dùng,6,1. Không có giấy tờ chứng minh thu nhập,4,3. Đại học
548,1. Trả nợ trễ hạn,0. Nữ,24,2. Độc thân,1,4500000,1500000,100000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,75000000,6. Đầu tư chứng khoán,6,1. Không có giấy tờ chứng minh thu nhập,4,3. Đại học
549,1. Trả nợ trễ hạn,1. Nam,23,2. Độc thân,1,5000000,1500000,100000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,65000000,6. Đầu tư chứng khoán,8,1. Không có giấy tờ chứng minh thu nhập,4,3. Đại học
550,1. Trả nợ trễ hạn,1. Nam,20,2. Độc thân,2,6000000,2000000,100000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,75000000,6. Đầu tư chứng khoán,8,1. Không có giấy tờ chứng minh thu nhập,4,3. Đại học
551,1. Trả nợ trễ hạn,0. Nữ,24,2. Độc thân,2,6500000,1500000,190000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,75000000,6. Đầu tư chứng khoán,8,1. Không có giấy tờ chứng minh thu nhập,4,4. Cấp ba
552,1. Trả nợ trễ hạn,1. Nam,24,2. Độc thân,2,6500000,2000000,100000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,60000000,1. Tiêu dùng,6,1. Không có giấy tờ chứng minh thu nhập,3,3. Đại học
553,1. Trả nợ trễ hạn,0. Nữ,21,2. Độc thân,2,5000000,1500000,125000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,65000000,1. Tiêu dùng,10,1. Không có giấy tờ chứng minh thu nhập,4,3. Đại học
554,1. Trả nợ trễ hạn,1. Nam,21,2. Độc thân,2,5000000,2000000,100000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,60000000,1. Tiêu dùng,10,1. Không có giấy tờ chứng minh thu nhập,4,3. Đại học
555,1. Trả nợ trễ hạn,1. Nam,22,2. Độc thân,1,6000000,2000000,90000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,60000000,1. Tiêu dùng,10,1. Không có giấy tờ chứng minh thu nhập,3,4. Cấp ba
556,1. Trả nợ trễ hạn,0. Nữ,20,2. Độc thân,2,6000000,2000000,100000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,65000000,6. Đầu tư chứng khoán,6,1. Không có giấy tờ chứng minh thu nhập,3,4. Cấp ba
557,1. Trả nợ trễ hạn,0. Nữ,23,2. Độc thân,2,6500000,1000000,100000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,65000000,1. Tiêu dùng,12,1. Không có giấy tờ chứng minh thu nhập,4,4. Cấp ba
558,1. Trả nợ trễ hạn,1. Nam,20,2. Độc thân,1,6500000,1500000,150000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,70000000,1. Tiêu dùng,12,1. Không có giấy tờ chứng minh thu nhập,3,4. Cấp ba
559,1. Trả nợ trễ hạn,0. Nữ,22,2. Độc thân,1,6000000,2000000,90000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,65000000,6. Đầu tư chứng khoán,10,1. Không có giấy tờ chứng minh thu nhập,4,3. Đại học
560,1. Trả nợ trễ hạn,1. Nam,22,2. Độc thân,2,5000000,2000000,125000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,60000000,1. Tiêu dùng,6,1. Không có giấy tờ chứng minh thu nhập,3,4. Cấp ba
561,1. Trả nợ trễ hạn,1. Nam,22,2. Độc thân,2,4500000,1000000,190000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,75000000,1. Tiêu dùng,6,1. Không có giấy tờ chứng minh thu nhập,3,4. Cấp ba
562,1. Trả nợ trễ hạn,1. Nam,23,2. Độc thân,2,5000000,1000000,150000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,60000000,6. Đầu tư chứng khoán,10,1. Không có giấy tờ chứng minh thu nhập,3,4. Cấp ba
563,1. Trả nợ trễ hạn,0. Nữ,23,2. Độc thân,1,6000000,2000000,150000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,65000000,6. Đầu tư chứng khoán,10,1. Không có giấy tờ chứng minh thu nhập,4,4. Cấp ba
564,1. Trả nợ trễ hạn,1. Nam,24,2. Độc thân,1,4500000,1500000,190000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,60000000,1. Tiêu dùng,8,1. Không có giấy tờ chứng minh thu nhập,4,4. Cấp ba
565,1. Trả nợ trễ hạn,1. Nam,22,2. Độc thân,1,6000000,2000000,150000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,60000000,6. Đầu tư chứng khoán,8,1. Không có giấy tờ chứng minh thu nhập,3,3. Đại học
566,1. Trả nợ trễ hạn,1. Nam,20,2. Độc thân,2,4500000,1500000,90000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,75000000,1. Tiêu dùng,10,1. Không có giấy tờ chứng minh thu nhập,3,3. Đại học
567,1. Trả nợ trễ hạn,0. Nữ,21,2. Độc thân,1,6000000,1500000,125000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,75000000,6. Đầu tư chứng khoán,6,1. Không có giấy tờ chứng minh thu nhập,4,4. Cấp ba
568,1. Trả nợ trễ hạn,1. Nam,22,2. Độc thân,2,6500000,1000000,125000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,70000000,1. Tiêu dùng,12,1. Không có giấy tờ chứng minh thu nhập,4,3. Đại học
569,1. Trả nợ trễ hạn,1. Nam,23,2. Độc thân,1,5000000,1500000,150000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,75000000,6. Đầu tư chứng khoán,12,1. Không có giấy tờ chứng minh thu nhập,4,3. Đại học
570,1. Trả nợ trễ hạn,1. Nam,21,2. Độc thân,2,5000000,1000000,100000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,70000000,6. Đầu tư chứng khoán,10,1. Không có giấy tờ chứng minh thu nhập,4,4. Cấp ba
571,1. Trả nợ trễ hạn,1. Nam,21,2. Độc thân,2,6000000,1500000,150000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,75000000,6. Đầu tư chứng khoán,6,1. Không có giấy tờ chứng minh thu nhập,4,4. Cấp ba
572,1. Trả nợ trễ hạn,1. Nam,22,2. Độc thân,2,4500000,1000000,150000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,65000000,6. Đầu tư chứng khoán,10,1. Không có giấy tờ chứng minh thu nhập,3,3. Đại học
573,1. Trả nợ trễ hạn,0. Nữ,23,2. Độc thân,2,5000000,1000000,190000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,70000000,6. Đầu tư chứng khoán,6,1. Không có giấy tờ chứng minh thu nhập,3,3. Đại học
574,1. Trả nợ trễ hạn,1. Nam,22,2. Độc thân,2,5000000,1000000,190000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,70000000,6. Đầu tư chứng khoán,12,1. Không có giấy tờ chứng minh thu nhập,3,4. Cấp ba
575,1. Trả nợ trễ hạn,0. Nữ,22,2. Độc thân,1,4500000,1000000,190000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,65000000,6. Đầu tư chứng khoán,12,1. Không có giấy tờ chứng minh thu nhập,4,4. Cấp ba
576,1. Trả nợ trễ hạn,0. Nữ,24,2. Độc thân,2,5000000,3000000,90000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,70000000,6. Đầu tư chứng khoán,6,1. Không có giấy tờ chứng minh thu nhập,4,3. Đại học
577,1. Trả nợ trễ hạn,1. Nam,21,2. Độc thân,2,5000000,3000000,150000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,70000000,6. Đầu tư chứng khoán,12,1. Không có giấy tờ chứng minh thu nhập,3,4. Cấp ba
578,1. Trả nợ trễ hạn,0. Nữ,24,2. Độc thân,2,4500000,2500000,190000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,70000000,1. Tiêu dùng,6,1. Không có giấy tờ chứng minh thu nhập,3,3. Đại học
579,1. Trả nợ trễ hạn,0. Nữ,24,2. Độc thân,1,5000000,3000000,190000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,75000000,1. Tiêu dùng,10,1. Không có giấy tờ chứng minh thu nhập,3,4. Cấp ba
580,1. Trả nợ trễ hạn,1. Nam,20,2. Độc thân,1,5000000,3000000,125000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,70000000,6. Đầu tư chứng khoán,8,1. Không có giấy tờ chứng minh thu nhập,3,4. Cấp ba
581,1. Trả nợ trễ hạn,0. Nữ,21,2. Độc thân,2,4500000,2500000,90000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,60000000,6. Đầu tư chứng khoán,12,1. Không có giấy tờ chứng minh thu nhập,3,4. Cấp ba
582,1. Trả nợ trễ hạn,1. Nam,23,2. Độc thân,2,6000000,4000000,150000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,75000000,6. Đầu tư chứng khoán,10,1. Không có giấy tờ chứng minh thu nhập,4,4. Cấp ba
583,1. Trả nợ trễ hạn,1. Nam,20,2. Độc thân,1,5000000,3000000,100000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,75000000,6. Đầu tư chứng khoán,10,1. Không có giấy tờ chứng minh thu nhập,4,3. Đại học
584,1. Trả nợ trễ hạn,0. Nữ,23,2. Độc thân,1,6500000,4500000,90000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,60000000,1. Tiêu dùng,6,1. Không có giấy tờ chứng minh thu nhập,4,4. Cấp ba
585,1. Trả nợ trễ hạn,1. Nam,21,2. Độc thân,2,4500000,2500000,150000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,65000000,1. Tiêu dùng,8,1. Không có giấy tờ chứng minh thu nhập,3,4. Cấp ba
586,1. Trả nợ trễ hạn,1. Nam,24,2. Độc thân,2,6000000,4000000,190000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,65000000,1. Tiêu dùng,12,1. Không có giấy tờ chứng minh thu nhập,4,3. Đại học
587,1. Trả nợ trễ hạn,0. Nữ,23,2. Độc thân,1,6500000,4500000,100000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,60000000,1. Tiêu dùng,10,1. Không có giấy tờ chứng minh thu nhập,3,3. Đại học
588,1. Trả nợ trễ hạn,0. Nữ,20,2. Độc thân,2,6500000,4500000,100000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,70000000,6. Đầu tư chứng khoán,8,1. Không có giấy tờ chứng minh thu nhập,3,3. Đại học
589,1. Trả nợ trễ hạn,1. Nam,22,2. Độc thân,1,6000000,4000000,125000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,75000000,1. Tiêu dùng,8,1. Không có giấy tờ chứng minh thu nhập,3,3. Đại học
590,1. Trả nợ trễ hạn,1. Nam,24,2. Độc thân,2,6500000,4500000,190000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,75000000,6. Đầu tư chứng khoán,8,1. Không có giấy tờ chứng minh thu nhập,4,3. Đại học
591,1. Trả nợ trễ hạn,0. Nữ,24,2. Độc thân,2,6000000,4000000,150000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,60000000,4. Mua xe,6,1. Không có giấy tờ chứng minh thu nhập,4,4. Cấp ba
592,1. Trả nợ trễ hạn,0. Nữ,24,2. Độc thân,2,6500000,4500000,125000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,60000000,6. Đầu tư chứng khoán,10,1. Không có giấy tờ chứng minh thu nhập,3,3. Đại học
593,1. Trả nợ trễ hạn,0. Nữ,23,2. Độc thân,1,6000000,4000000,150000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,70000000,4. Mua xe,10,1. Không có giấy tờ chứng minh thu nhập,4,4. Cấp ba
594,1. Trả nợ trễ hạn,0. Nữ,24,2. Độc thân,1,5000000,3000000,125000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,60000000,4. Mua xe,10,1. Không có giấy tờ chứng minh thu nhập,4,3. Đại học
595,1. Trả nợ trễ hạn,1. Nam,24,2. Độc thân,1,4500000,2500000,150000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,70000000,6. Đầu tư chứng khoán,10,1. Không có giấy tờ chứng minh thu nhập,3,3. Đại học
596,1. Trả nợ trễ hạn,1. Nam,20,2. Độc thân,1,6000000,4000000,90000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,65000000,4. Mua xe,6,1. Không có giấy tờ chứng minh thu nhập,3,3. Đại học
597,1. Trả nợ trễ hạn,0. Nữ,21,2. Độc thân,2,6000000,4000000,90000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,60000000,6. Đầu tư chứng khoán,8,1. Không có giấy tờ chứng minh thu nhập,4,3. Đại học
598,1. Trả nợ trễ hạn,1. Nam,21,2. Độc thân,2,5000000,3000000,90000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,70000000,6. Đầu tư chứng khoán,6,1. Không có giấy tờ chứng minh thu nhập,3,3. Đại học
599,1. Trả nợ trễ hạn,1. Nam,22,2. Độc thân,2,4500000,2500000,90000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,60000000,4. Mua xe,6,1. Không có giấy tờ chứng minh thu nhập,4,4. Cấp ba
600,1. Trả nợ trễ hạn,1. Nam,22,2. Độc thân,2,5000000,3000000,150000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,60000000,6. Đầu tư chứng khoán,8,1. Không có giấy tờ chứng minh thu nhập,4,4. Cấp ba
601,1. Trả nợ trễ hạn,0. Nữ,24,2. Độc thân,1,6000000,4000000,125000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,75000000,6. Đầu tư chứng khoán,10,1. Không có giấy tờ chứng minh thu nhập,4,3. Đại học
602,1. Trả nợ trễ hạn,0. Nữ,21,2. Độc thân,2,6000000,4000000,190000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,70000000,6. Đầu tư chứng khoán,8,1. Không có giấy tờ chứng minh thu nhập,3,4. Cấp ba
603,1. Trả nợ trễ hạn,0. Nữ,22,2. Độc thân,2,5000000,3000000,150000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,75000000,6. Đầu tư chứng khoán,12,1. Không có giấy tờ chứng minh thu nhập,3,3. Đại học
604,1. Trả nợ trễ hạn,1. Nam,21,2. Độc thân,1,4500000,2500000,125000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,65000000,4. Mua xe,12,1. Không có giấy tờ chứng minh thu nhập,3,3. Đại học
605,1. Trả nợ trễ hạn,1. Nam,20,2. Độc thân,2,5000000,3000000,125000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,65000000,6. Đầu tư chứng khoán,6,1. Không có giấy tờ chứng minh thu nhập,3,3. Đại học
606,1. Trả nợ trễ hạn,1. Nam,24,2. Độc thân,2,6000000,4000000,90000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,75000000,6. Đầu tư chứng khoán,8,1. Không có giấy tờ chứng minh thu nhập,3,3. Đại học
607,1. Trả nợ trễ hạn,0. Nữ,24,2. Độc thân,2,5000000,3000000,190000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,75000000,6. Đầu tư chứng khoán,8,1. Không có giấy tờ chứng minh thu nhập,4,3. Đại học
608,1. Trả nợ trễ hạn,1. Nam,24,2. Độc thân,1,6500000,4500000,100000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,70000000,6. Đầu tư chứng khoán,8,1. Không có giấy tờ chứng minh thu nhập,3,4. Cấp ba
609,1. Trả nợ trễ hạn,0. Nữ,20,2. Độc thân,2,6000000,4000000,100000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,60000000,6. Đầu tư chứng khoán,10,1. Không có giấy tờ chứng minh thu nhập,4,4. Cấp ba
610,1. Trả nợ trễ hạn,1. Nam,24,2. Độc thân,2,6500000,4500000,100000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,60000000,4. Mua xe,10,1. Không có giấy tờ chứng minh thu nhập,4,3. Đại học
611,1. Trả nợ trễ hạn,1. Nam,24,2. Độc thân,1,5000000,3000000,90000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,70000000,6. Đầu tư chứng khoán,12,1. Không có giấy tờ chứng minh thu nhập,4,4. Cấp ba
612,1. Trả nợ trễ hạn,1. Nam,20,2. Độc thân,1,6500000,4500000,90000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,75000000,4. Mua xe,8,1. Không có giấy tờ chứng minh thu nhập,4,4. Cấp ba
613,1. Trả nợ trễ hạn,1. Nam,23,2. Độc thân,1,6000000,4000000,125000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,70000000,4. Mua xe,10,1. Không có giấy tờ chứng minh thu nhập,4,3. Đại học
614,1. Trả nợ trễ hạn,1. Nam,21,2. Độc thân,2,6000000,4000000,125000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,70000000,4. Mua xe,8,1. Không có giấy tờ chứng minh thu nhập,3,3. Đại học
615,1. Trả nợ trễ hạn,1. Nam,22,2. Độc thân,2,6000000,4000000,90000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,70000000,4. Mua xe,12,1. Không có giấy tờ chứng minh thu nhập,3,4. Cấp ba
616,1. Trả nợ trễ hạn,0. Nữ,24,2. Độc thân,1,6000000,4000000,150000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,75000000,6. Đầu tư chứng khoán,8,1. Không có giấy tờ chứng minh thu nhập,3,3. Đại học
617,1. Trả nợ trễ hạn,0. Nữ,20,2. Độc thân,2,6000000,4000000,90000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,75000000,4. Mua xe,10,1. Không có giấy tờ chứng minh thu nhập,3,4. Cấp ba
618,1. Trả nợ trễ hạn,1. Nam,21,2. Độc thân,1,5000000,3000000,125000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,75000000,6. Đầu tư chứng khoán,6,1. Không có giấy tờ chứng minh thu nhập,3,3. Đại học
619,1. Trả nợ trễ hạn,1. Nam,23,2. Độc thân,1,5000000,3000000,190000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,60000000,6. Đầu tư chứng khoán,10,1. Không có giấy tờ chứng minh thu nhập,3,4. Cấp ba
620,1. Trả nợ trễ hạn,1. Nam,21,2. Độc thân,1,6000000,4000000,90000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,70000000,6. Đầu tư chứng khoán,8,1. Không có giấy tờ chứng minh thu nhập,4,4. Cấp ba
621,1. Trả nợ trễ hạn,0. Nữ,20,2. Độc thân,1,4500000,2500000,100000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,75000000,6. Đầu tư chứng khoán,12,1. Không có giấy tờ chứng minh thu nhập,4,3. Đại học
622,1. Trả nợ trễ hạn,0. Nữ,24,2. Độc thân,2,6500000,4500000,150000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,75000000,6. Đầu tư chứng khoán,8,1. Không có giấy tờ chứng minh thu nhập,4,3. Đại học
623,1. Trả nợ trễ hạn,0. Nữ,20,2. Độc thân,1,5000000,3000000,100000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,75000000,6. Đầu tư chứng khoán,8,1. Không có giấy tờ chứng minh thu nhập,4,3. Đại học
624,1. Trả nợ trễ hạn,0. Nữ,20,2. Độc thân,1,6000000,2000000,150000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,60000000,4. Mua xe,10,1. Không có giấy tờ chứng minh thu nhập,3,4. Cấp ba
625,1. Trả nợ trễ hạn,0. Nữ,24,2. Độc thân,1,6000000,2000000,90000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,65000000,4. Mua xe,8,1. Không có giấy tờ chứng minh thu nhập,4,4. Cấp ba
626,1. Trả nợ trễ hạn,0. Nữ,22,2. Độc thân,1,6000000,2000000,150000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,65000000,4. Mua xe,10,1. Không có giấy tờ chứng minh thu nhập,4,4. Cấp ba
627,1. Trả nợ trễ hạn,1. Nam,22,2. Độc thân,1,4500000,1500000,90000,1. Không có tài sản thế chấp,1. Chưa sở hữu nhà ở,60000000,6. Đầu tư chứng khoán,10,1. Không có giấy tờ chứng minh thu nhập,3,4. Cấp ba
